seq,event,receivedAtMs,gapMs
1,tick,686.303,
2,tick,1687.545,1001.242
3,tick,2689.390,1001.845
4,tick,3690.205,1000.814
5,tick,4690.316,1000.111
6,tick,5691.656,1001.340
7,tick,6691.491,999.835
8,tick,7693.782,1002.291
9,tick,8694.366,1000.585
10,tick,9694.077,999.711
11,tick,10695.289,1001.211
12,tick,11696.515,1001.226
13,tick,12697.434,1000.920
14,tick,13698.190,1000.756
15,tick,14698.180,999.989
16,tick,15699.209,1001.029
17,tick,16699.837,1000.628
18,tick,17700.766,1000.929
19,tick,18700.869,1000.103
20,tick,19702.765,1001.896
21,tick,20704.398,1001.632
22,tick,21704.025,999.627
23,tick,22704.744,1000.719
24,tick,23705.811,1001.067
25,tick,24706.269,1000.458
26,tick,25707.272,1001.003
27,tick,26708.006,1000.734
28,tick,27709.957,1001.951
29,tick,28712.482,1002.525
30,tick,29712.262,999.780
31,tick,30713.982,1001.720
32,tick,31714.195,1000.212
33,tick,32715.887,1001.693
34,tick,33717.546,1001.659
35,tick,34718.494,1000.948
36,tick,35718.567,1000.073
37,tick,36719.653,1001.086
38,tick,37719.669,1000.016
39,tick,38721.538,1001.869
40,tick,39721.432,999.895
41,tick,40722.312,1000.880
42,tick,41723.184,1000.872
43,tick,42723.499,1000.315
44,tick,43724.904,1001.405
45,tick,44726.415,1001.511
46,tick,45726.787,1000.372
47,tick,46727.732,1000.945
48,tick,47727.940,1000.208
49,tick,48730.368,1002.428
50,tick,49729.938,999.570
51,tick,50730.266,1000.328
52,tick,51730.490,1000.224
53,tick,52732.333,1001.843
54,tick,53733.151,1000.818
55,tick,54733.393,1000.242
56,tick,55734.899,1001.506
57,tick,56735.237,1000.338
58,tick,57736.711,1001.474
59,tick,58738.608,1001.897
60,tick,59738.167,999.560
61,tick,60739.514,1001.347
62,tick,61741.032,1001.517
63,tick,62741.292,1000.261
64,tick,63742.959,1001.667
65,tick,64743.105,1000.146
66,tick,65743.902,1000.797
67,tick,66744.198,1000.296
68,tick,67745.103,1000.905
69,tick,68747.193,1002.090
70,tick,69747.445,1000.253
71,tick,70748.235,1000.790
72,tick,71748.940,1000.705
73,tick,72749.455,1000.515
74,tick,73750.621,1001.165
75,tick,74751.066,1000.446
76,tick,75751.622,1000.556
77,tick,76752.914,1001.292
78,tick,77752.791,999.878
79,tick,78753.791,1001.000
80,tick,79755.481,1001.690
81,tick,80756.115,1000.633
82,tick,81756.256,1000.141
83,tick,82757.095,1000.839
84,tick,83757.821,1000.726
85,tick,84759.782,1001.961
86,tick,85760.460,1000.678
87,tick,86759.679,999.219
88,tick,87761.685,1002.006
89,tick,88763.237,1001.552
90,tick,89763.598,1000.360
91,tick,90763.479,999.881
92,tick,91764.168,1000.689
93,tick,92764.186,1000.018
94,tick,93766.307,1002.121
95,tick,94767.175,1000.868
96,tick,95767.804,1000.629
97,tick,96768.566,1000.761
98,tick,97770.229,1001.663
99,tick,98771.069,1000.839
100,tick,99772.670,1001.601
101,tick,100773.130,1000.459
102,tick,101772.978,999.848
103,tick,102774.353,1001.375
104,tick,103774.955,1000.602
105,tick,104776.844,1001.889
106,tick,105777.137,1000.292
107,tick,106777.518,1000.382
108,tick,107778.032,1000.514
109,tick,108778.898,1000.867
110,tick,109780.647,1001.748
111,tick,110780.126,999.479
112,tick,111780.974,1000.848
113,tick,112782.498,1001.524
114,tick,113782.360,999.863
115,tick,114783.421,1001.061
116,tick,115783.169,999.748
117,tick,116784.053,1000.884
118,tick,117785.188,1001.136
119,tick,118786.576,1001.388
120,tick,119787.002,1000.426
121,tick,120786.974,999.973
122,tick,121787.879,1000.905
123,tick,122788.456,1000.577
124,tick,123789.469,1001.013
125,tick,124789.702,1000.233
126,tick,125792.211,1002.508
127,tick,126793.480,1001.270
128,tick,127794.386,1000.905
129,tick,128794.417,1000.032
130,tick,129794.915,1000.497
131,tick,130796.368,1001.454
132,tick,131796.813,1000.445
133,tick,132798.356,1001.542
134,tick,133798.856,1000.500
135,tick,134800.429,1001.573
136,tick,135799.978,999.548
137,tick,136800.868,1000.891
138,tick,137801.600,1000.732
139,tick,138802.431,1000.831
140,tick,139804.100,1001.670
141,tick,140805.470,1001.370
142,tick,141806.934,1001.464
143,tick,142808.788,1001.854
144,tick,143809.403,1000.614
145,tick,144810.068,1000.665
146,tick,145811.470,1001.402
147,tick,146812.098,1000.628
148,tick,147812.124,1000.026
149,tick,148812.833,1000.709
150,tick,149814.701,1001.868
151,tick,150815.155,1000.454
152,tick,151815.085,999.930
153,tick,152816.503,1001.418
154,tick,153817.120,1000.617
155,tick,154818.711,1001.591
156,tick,155818.905,1000.193
157,tick,156819.592,1000.687
158,tick,157820.787,1001.195
159,tick,158822.501,1001.715
160,tick,159823.574,1001.072
161,tick,160823.798,1000.224
162,tick,161824.836,1001.038
163,tick,162826.492,1001.656
164,tick,163826.989,1000.498
165,tick,164828.730,1001.740
166,tick,165829.866,1001.136
167,tick,166831.563,1001.696
168,tick,167831.716,1000.153
169,tick,168833.578,1001.863
170,tick,169833.118,999.539
171,tick,170832.805,999.687
172,tick,171834.107,1001.303
173,tick,172835.539,1001.431
174,tick,173835.712,1000.173
175,tick,174836.730,1001.018
176,tick,175838.216,1001.486
177,tick,176839.350,1001.134
178,tick,177838.925,999.575
179,tick,178840.023,1001.098
180,tick,179841.549,1001.526
181,tick,180840.961,999.412
182,tick,181841.748,1000.786
183,tick,182843.598,1001.850
