seq,event,receivedAtMs,gapMs
1,tick,685.725,
2,tick,1687.765,1002.039
3,tick,2689.222,1001.457
4,tick,3690.316,1001.094
5,tick,4689.858,999.541
6,tick,5691.292,1001.435
7,tick,6690.848,999.556
8,tick,7693.269,1002.422
9,tick,8694.281,1001.012
10,tick,9693.474,999.193
11,tick,10695.084,1001.611
12,tick,11696.394,1001.310
13,tick,12697.130,1000.736
14,tick,13697.764,1000.635
15,tick,14697.720,999.956
16,tick,15698.919,1001.199
17,tick,16699.647,1000.728
18,tick,17700.350,1000.703
19,tick,18701.151,1000.801
20,tick,19702.354,1001.203
21,tick,20703.953,1001.599
22,tick,21703.850,999.897
23,tick,22704.330,1000.480
24,tick,23705.389,1001.059
25,tick,24705.929,1000.540
26,tick,25707.003,1001.074
27,tick,26707.539,1000.536
28,tick,27709.716,1002.178
29,tick,28712.658,1002.942
30,tick,29711.980,999.322
31,tick,30713.646,1001.666
32,tick,31713.890,1000.244
33,tick,32715.492,1001.602
34,tick,33717.255,1001.763
35,tick,34718.500,1001.245
36,tick,35718.145,999.645
37,tick,36719.388,1001.243
38,tick,37719.259,999.871
39,tick,38721.220,1001.961
40,tick,39721.210,999.989
41,tick,40721.993,1000.784
42,tick,41722.906,1000.912
43,tick,42722.932,1000.026
44,tick,43724.556,1001.624
45,tick,44725.997,1001.441
46,tick,45726.430,1000.433
47,tick,46727.323,1000.893
48,tick,47727.616,1000.293
49,tick,48729.117,1001.502
50,tick,49729.475,1000.358
51,tick,50730.197,1000.722
52,tick,51729.900,999.703
53,tick,52731.950,1002.050
54,tick,53732.952,1001.002
55,tick,54732.870,999.918
56,tick,55735.901,1003.031
57,tick,56735.030,999.128
58,tick,57736.346,1001.316
59,tick,58739.041,1002.695
60,tick,59737.668,998.628
61,tick,60739.144,1001.476
62,tick,61740.676,1001.532
63,tick,62740.970,1000.294
64,tick,63742.969,1001.999
65,tick,64742.786,999.817
66,tick,65743.515,1000.729
67,tick,66743.755,1000.240
68,tick,67744.720,1000.965
69,tick,68746.352,1001.632
70,tick,69747.181,1000.828
71,tick,70747.885,1000.704
72,tick,71748.563,1000.678
73,tick,72749.142,1000.580
74,tick,73750.337,1001.195
75,tick,74750.753,1000.416
76,tick,75751.290,1000.537
77,tick,76752.615,1001.325
78,tick,77752.095,999.479
79,tick,78753.377,1001.282
80,tick,79755.160,1001.783
81,tick,80755.771,1000.611
82,tick,81755.911,1000.141
83,tick,82756.816,1000.905
84,tick,83757.296,1000.480
85,tick,84759.470,1002.174
86,tick,85760.142,1000.672
87,tick,86758.965,998.823
88,tick,87761.254,1002.289
89,tick,88762.851,1001.597
90,tick,89763.159,1000.308
91,tick,90763.081,999.922
92,tick,91763.745,1000.664
93,tick,92763.516,999.771
94,tick,93765.897,1002.381
95,tick,94766.773,1000.876
96,tick,95767.345,1000.571
97,tick,96768.001,1000.656
98,tick,97769.925,1001.925
99,tick,98770.813,1000.887
100,tick,99772.705,1001.893
101,tick,100772.860,1000.155
102,tick,101772.591,999.731
103,tick,102773.811,1001.220
104,tick,103774.704,1000.893
105,tick,104776.573,1001.869
106,tick,105776.944,1000.372
107,tick,106777.158,1000.214
108,tick,107777.776,1000.618
109,tick,108778.550,1000.774
110,tick,109780.359,1001.809
111,tick,110779.760,999.400
112,tick,111780.697,1000.938
113,tick,112782.147,1001.449
114,tick,113781.966,999.819
115,tick,114783.336,1001.370
116,tick,115782.867,999.532
117,tick,116783.577,1000.710
118,tick,117784.731,1001.153
119,tick,118786.183,1001.453
120,tick,119786.552,1000.369
121,tick,120786.607,1000.055
122,tick,121787.477,1000.870
123,tick,122788.121,1000.644
124,tick,123789.076,1000.956
125,tick,124789.364,1000.287
126,tick,125792.258,1002.894
127,tick,126793.451,1001.194
128,tick,127794.080,1000.628
129,tick,128794.083,1000.004
130,tick,129794.461,1000.378
131,tick,130795.963,1001.502
132,tick,131796.452,1000.489
133,tick,132798.070,1001.618
134,tick,133798.531,1000.461
135,tick,134799.991,1001.460
136,tick,135799.530,999.539
137,tick,136800.475,1000.945
138,tick,137801.023,1000.548
139,tick,138801.923,1000.900
140,tick,139803.623,1001.700
141,tick,140804.878,1001.255
142,tick,141806.471,1001.593
143,tick,142808.375,1001.903
144,tick,143809.012,1000.637
145,tick,144809.642,1000.630
146,tick,145810.976,1001.334
147,tick,146811.623,1000.647
148,tick,147811.683,1000.060
149,tick,148812.442,1000.759
150,tick,149814.264,1001.822
151,tick,150814.666,1000.402
152,tick,151814.673,1000.007
153,tick,152815.990,1001.317
154,tick,153816.792,1000.803
155,tick,154818.354,1001.562
156,tick,155818.373,1000.018
157,tick,156819.015,1000.642
158,tick,157820.467,1001.452
159,tick,158822.197,1001.729
160,tick,159823.166,1000.969
161,tick,160823.249,1000.083
162,tick,161824.354,1001.105
163,tick,162826.157,1001.804
164,tick,163826.614,1000.457
165,tick,164828.267,1001.653
166,tick,165829.275,1001.007
167,tick,166831.092,1001.817
168,tick,167831.306,1000.214
169,tick,168833.167,1001.861
170,tick,169832.674,999.507
171,tick,170832.138,999.464
172,tick,171833.594,1001.456
173,tick,172835.094,1001.500
174,tick,173835.123,1000.029
175,tick,174836.287,1001.164
176,tick,175837.788,1001.501
177,tick,176838.805,1001.017
178,tick,177838.503,999.698
179,tick,178839.771,1001.268
180,tick,179841.185,1001.414
181,tick,180840.543,999.358
182,tick,181841.343,1000.800
183,tick,182843.136,1001.793
184,tick,183843.395,1000.259
185,tick,184845.265,1001.871
186,tick,185844.750,999.485
187,tick,186845.172,1000.422
188,tick,187845.878,1000.705
189,tick,188847.495,1001.617
190,tick,189848.888,1001.393
191,tick,190848.617,999.729
192,tick,191848.657,1000.040
193,tick,192850.179,1001.522
194,tick,193850.830,1000.651
195,tick,194852.465,1001.635
196,tick,195853.877,1001.412
197,tick,196855.284,1001.407
198,tick,197856.943,1001.659
199,tick,198857.202,1000.260
200,tick,199859.335,1002.132
201,tick,200859.568,1000.233
202,tick,201861.433,1001.865
203,tick,202862.934,1001.501
204,tick,203863.553,1000.619
205,tick,204864.996,1001.443
206,tick,205864.668,999.672
207,tick,206865.553,1000.886
208,tick,207867.174,1001.621
209,tick,208867.967,1000.793
210,tick,209867.953,999.986
211,tick,210868.646,1000.693
212,tick,211869.451,1000.806
213,tick,212870.885,1001.434
214,tick,213872.085,1001.200
215,tick,214872.753,1000.667
216,tick,215873.313,1000.560
217,tick,216874.900,1001.588
218,tick,217875.409,1000.508
219,tick,218877.235,1001.827
220,tick,219876.585,999.349
221,tick,220877.338,1000.753
222,tick,221878.880,1001.542
223,tick,222879.618,1000.738
224,tick,223881.021,1001.403
225,tick,224881.193,1000.172
226,tick,225881.849,1000.655
227,tick,226882.409,1000.561
228,tick,227883.807,1001.398
229,tick,228885.136,1001.328
230,tick,229885.565,1000.429
231,tick,230885.687,1000.122
232,tick,231887.022,1001.335
233,tick,232887.127,1000.105
234,tick,233887.487,1000.360
235,tick,234889.503,1002.015
236,tick,235890.560,1001.058
237,tick,236892.067,1001.507
238,tick,237892.512,1000.445
239,tick,238894.194,1001.681
240,tick,239894.801,1000.608
241,tick,240895.869,1001.068
242,tick,241895.867,999.998
243,tick,242897.878,1002.011
244,tick,243899.240,1001.362
245,tick,244900.884,1001.645
246,tick,245901.264,1000.379
247,tick,246902.852,1001.588
248,tick,247902.570,999.718
249,tick,248903.826,1001.256
250,tick,249904.672,1000.846
251,tick,250906.092,1001.420
252,tick,251906.211,1000.119
253,tick,252907.282,1001.070
254,tick,253908.119,1000.837
255,tick,254909.785,1001.667
256,tick,255908.623,998.837
257,tick,256909.812,1001.190
258,tick,257909.750,999.937
259,tick,258909.885,1000.135
260,tick,259911.741,1001.856
261,tick,260913.183,1001.442
262,tick,261913.041,999.858
263,tick,262913.407,1000.366
264,tick,263914.989,1001.582
265,tick,264915.304,1000.315
266,tick,265916.959,1001.655
267,tick,266917.074,1000.115
268,tick,267918.547,1001.473
269,tick,268918.978,1000.431
270,tick,269920.397,1001.418
271,tick,270922.037,1001.640
272,tick,271921.234,999.198
273,tick,272922.181,1000.947
274,tick,273922.835,1000.654
275,tick,274924.187,1001.351
276,tick,275925.812,1001.625
277,tick,276925.585,999.774
278,tick,277927.214,1001.629
279,tick,278928.730,1001.516
280,tick,279930.218,1001.488
281,tick,280930.375,1000.156
282,tick,281930.742,1000.367
283,tick,282932.927,1002.185
284,tick,283932.857,999.930
285,tick,284933.672,1000.815
286,tick,285934.456,1000.784
287,tick,286942.785,1008.329
288,tick,287936.992,994.207
289,tick,288937.261,1000.269
290,tick,289937.975,1000.714
291,tick,290938.430,1000.456
292,tick,291940.135,1001.705
293,tick,292941.600,1001.466
294,tick,293943.107,1001.507
295,tick,294944.550,1001.442
296,tick,295945.840,1001.290
297,tick,296946.615,1000.774
298,tick,297946.459,999.844
299,tick,298947.830,1001.371
